@应用名称|网易云音乐
@apk大小|22.4MB
@apk下载地址|http://p.gdown.baidu.com/013c3ed1fe65d2ee8586b86d0d653101ddad56559a51016b1538926fee90cd005268a2b4a5884630de425d4406bde1494aa87a302c621036b3c317441bf8ad983b2f245dc0f8cb824a7a860b5ef6068afc3d644ebcbc61c0fb104d7e58c4ff320ed61b13849ae310b8420f96f1a4d67c
@应用简介|"网易云音乐，《天籁之战》独家音乐合作伙伴，华晨宇、莫文蔚、费玉清、杨坤等PK曲目独家无损音源，明星演唱曲目官方投票平台！
网易云音乐，2亿乐迷为之狂热的音乐APP！
● 广袤的曲库，独一无二的算法，轻易邂逅那些你未听过又很喜欢的歌。
【个性化推荐】和【私人FM】，比你更了解你；
● 令人惊叹的【320K 音质】，你随时沉醉在美妙的音乐层次中；
● 国内首个以“歌单”作为核心架构的音乐APP，国内最大、最优质的“歌单”库，批量遇见好听音乐更加简单；一步轻松创建“歌单”，音乐分享又容易又有趣；
● 强大的【乐评】氛围，同一首歌，通过其他人的评论，体会当中故事、体会同样的感受，在评论中找到共鸣。
● 用户自上传【主播电台】，音乐故事、脱口秀、情感话题，每个人都能轻松表达自己。
● 过千名大牌明星、专业音乐人、DJ进驻，专业的私房“歌单”和音乐推荐，格调顿现；专业音乐编辑每周新奇独到的专题评论， 听歌也可更有趣；
● 国内最大的曲库团队、反馈最快最及时的客服团队、每天倾听一千位用户声音的产品团队、市场运营团队，日日夜夜为所有用户提供最贴心到位的服务和产品。"
@应用类型|影音播放
@icon地址|http://s0.hao123img.com/res/r/image/2017-01-11/8635b961a7a5870285c76093ad7f9259.jpg
@截图地址|http://s0.hao123img.com/res/r/image/2017-01-11/b741a18e874e1ba0426a327200086081.jpg;http://s0.hao123img.com/res/r/image/2017-01-11/95b5755d2e7ac9c3b6e0dfd9b50d2a59.jpg;http://s0.hao123img.com/res/r/image/2017-01-11/b1085db7515fab30b2aee4fe14d46477.jpg;http://s0.hao123img.com/res/r/image/2017-01-11/10ce77d795be483f2c6764ee5a69b5e1.jpg
@描述|《天籁之战》独家音乐合作伙伴
@更多|4.8
@下载数量|8569万
@三个关键词|网易音乐;云音乐;音乐播放器
