@应用名称|陌陌
@apk大小|54.2MB
@apk下载地址|http://p.gdown.baidu.com/0fbb1389c4f0abec1027bcae4dd83af5e9d23a3c521fb3ee4dd4e14dc8d793107eec5fe7b70d863d42174e0a9fae8681ffac642ac8826ecce99042a1cde99fc082eca72a74ee4deab2c2d673057bfb3b729a1b6d3781a7624c3a6105e344fd78
@应用简介|【内容提要】陌陌是一款年轻人爱用的社交产品，你可以和陌生人聊天、分享自己的生活、观看有趣的直播、参与附近的群组和活动。不必有面具和伪装，做更加轻松真实的自己。官方网站：www.immomo.com客服电话：028-62836666新浪微博：@陌陌科技
@应用类型|社交通讯
@icon地址|http://s0.hao123img.com/res/r/image/2017-01-10/c46e7f49e2953f34508d6893d517633d.jpg
@截图地址|http://s0.hao123img.com/res/r/image/2017-01-10/a01d3e3129ea2d5befc6175416142dad.jp;http://s0.hao123img.com/res/r/image/2017-01-10/b4632f00a1cdc9607b178098543c8213.jpg;http://s0.hao123img.com/res/r/image/2017-01-10/b3048d23f5b9353c7a6d21d9f8d76030.jpg;http://s0.hao123img.com/res/r/image/2017-01-10/60a79d1d7dac2ce50a717205f0219f35.jpg	
@描述|为兴趣而生，总有新奇在身边
@更多|4.8
@下载数量|2.5亿
@三个关键词|陌陌交友;陌陌下载;陌陌美女
